ID,                     言語設定,    入力開始日時,            入力終了日時,         システムファイル,                                   同意の有無,     理解しました,   内容の確認1,                       内容の確認2,                                             内容の確認3,                                                                                                                内容の確認4,                                                        1. AIは人間らしい振る舞いをする, 2. AIは生き物のように反応する, 3. AIは利用しやすい, 4. AIはタスクをうまく行う, 5. AIは好感が持てる, 6. AIは社会に馴染むことができる,7. AIには独自の個性がある, 8. 将来またこのAIを利用したいと思う,9. 直前の質問で選択した番号から1つずらした数字を選択してください, 10. AIの言動は見ていて楽しい, 11. AIとのやりとりは注意を引く, 12. AIは信頼できる, 13. AIと協力してタスクを行うことができた, 14. AIは気を配っている, 15. AIの言動は合理的である, 16. AIの言動には意図がある, 17. AIとのやりとりを好意的に受け止めている,18. AIは社会的な存在感がある,19. 他の人はAIを使うことをこの勧めると思う,20. AIには感情がある,AIの性格は変わっていない, AIの性格は初めのチャットの途中で変わった,AIの性格はチャットを新規作成した際に変わった,AIの性格はチャットを新規作成後の<br>チャットの途中に変わった,ピクト,オルタ,モーリッツ,左記以外,他に依頼したいことができたため,予定していた依頼がすべて無事に完了したため, AIからチャットを新規作成するように指示されたため,何度依頼しても期待した画像が出力されなかったため,性別,年齢,感想
nszw26001_hpDK6GAc6r,ja,2026-01-27_20-02-38,2026-01-27_20-07-17,iframegid:conf/iframe/chatItoE_noname_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,6,6,4,4,6,5,6,0,1,6,6,7,5,6,7,4,7,6,1,5,1,0,0,0,0,0,0,1,0,0,0,1,男,40,,,
nszw26001_oUBQwQEZjq,ja,2026-01-27_20-02-40,2026-01-27_20-07-19,iframegid:conf/iframe/chatItoE_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,6,6,7,6,6,8,6,6,7,7,6,6,6,7,6,7,7,6,8,7,0,0,1,0,1,0,0,0,0,0,0,1,男,52,,,
nszw26001_lLebZwjEIn,ja,2026-01-27_20-02-32,2026-01-27_20-07-24,iframegid:conf/iframe/chatItoE_noname_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,2,1,1,0,1,1,5,0,1,5,5,3,3,2,2,5,1,4,1,1,1,0,0,0,0,0,0,1,0,0,0,1,男,49,ない,,
nszw26001_ZdqzsdPkLf,ja,2026-01-27_20-02-43,2026-01-27_20-07-29,iframegid:conf/iframe/chatItoI_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,2,3,6,0,5,6,6,1,2,2,2,1,5,3,4,4,3,4,1,7,1,0,0,0,0,0,1,0,0,0,0,1,男,42,,,
nszw26001_ld1WmHaCKr,ja,2026-01-27_20-02-33,2026-01-27_20-07-24,iframegid:conf/iframe/chatItoE_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,1,2,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,男,46,,,
nszw26001_KRhWckzkwg,ja,2026-01-27_20-02-41,2026-01-27_20-07-27,iframegid:conf/iframe/chatItoE_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,5,5,6,4,4,5,6,5,6,5,5,4,6,4,5,5,6,4,3,5,0,0,1,0,1,0,1,0,0,0,0,1,男,52,,,
nszw26001_DWwCiVosym,ja,2026-01-27_20-02-35,2026-01-27_20-07-29,iframegid:conf/iframe/chatItoE_noname_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,5,6,5,3,5,5,5,2,3,2,5,5,5,5,3,5,4,5,2,5,1,0,0,0,0,0,0,1,0,0,1,0,男,55,まあまあですね。,,
nszw26001_Sm7ai0HddU,ja,2026-01-27_20-02-33,2026-01-27_20-07-35,iframegid:conf/iframe/chatItoI_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,2,2,2,2,2,2,5,2,3,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,1,男,54,イラっとした,,
nszw26001_ZlMzIaZfM6,ja,2026-01-27_20-02-34,2026-01-27_20-07-42,iframegid:conf/iframe/chatItoI_noname_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,7,8,7,2,6,3,5,2,3,5,8,2,3,7,5,2,5,5,2,2,1,0,0,0,0,0,0,1,0,0,0,1,男,51,AIはまだ発展途上の為に信用が今一出来ない。,,
nszw26001_RsJxAWWGy2,ja,2026-01-27_20-02-58,2026-01-27_20-07-52,iframegid:conf/iframe/chatItoI_noname_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,6,6,5,4,6,6,6,4,3,6,6,6,6,7,6,6,5,6,4,6,1,0,0,0,1,0,0,0,0,0,0,1,男,47,AIにもどかしさを覚えた,,
nszw26001_RTFlxd0LMV,ja,2026-01-27_20-02-34,2026-01-27_20-08-00,iframegid:conf/iframe/chatItoE_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,2,3,4,3,1,2,2,0,1,3,4,4,3,3,4,0,3,5,3,0,0,0,1,0,1,0,1,0,0,0,0,1,男,45,とくにありませんが本当にAIがこんな動きをしたら腹立たしい感じがします,,
nszw26001_rcqMk7HQgW,ja,2026-01-27_20-02-37,2026-01-27_20-08-00,iframegid:conf/iframe/chatItoE_noname_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,8,5,2,2,1,5,6,1,2,3,5,1,1,3,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,男,40,,,
nszw26001_RMaQFzNVnx,ja,2026-01-27_20-02-37,2026-01-27_20-08-08,iframegid:conf/iframe/chatItoI_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,8,8,2,2,2,2,7,2,3,2,3,1,2,2,2,2,1,6,1,1,1,0,0,0,0,0,1,0,0,0,0,1,男,40,チャットのやり取りで上手くいかないのを眺めているのはもどかしかった,,
nszw26001_BOohnLhhUb,ja,2026-01-27_20-02-32,2026-01-27_20-08-05,iframegid:conf/iframe/chatItoI_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,5,2,0,0,0,0,1,0,1,5,5,1,1,1,0,0,1,8,1,0,1,0,0,0,0,0,1,0,0,0,0,1,男,39,AI が無能だった,,
nszw26001_utEImfbfZR,ja,2026-01-27_20-02-37,2026-01-27_20-08-10,iframegid:conf/iframe/chatItoE_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,男,42,,,
nszw26001_DEO9rAwyZQ,ja,2026-01-27_20-02-37,2026-01-27_20-08-14,iframegid:conf/iframe/chatItoI_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,7,7,8,7,7,7,6,7,8,7,7,8,7,7,7,7,7,7,7,7,0,0,0,1,0,1,0,0,0,0,1,0,男,48,面白い,,
nszw26001_gFLu4vwoyu,ja,2026-01-27_20-02-40,2026-01-27_20-08-22,iframegid:conf/iframe/chatItoI_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,男,52,特になし,,
nszw26001_oOuSUC4LNJ,ja,2026-01-27_20-02-35,2026-01-27_20-08-27,iframegid:conf/iframe/chatItoI_noname_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,2,2,1,0,3,4,3,0,1,2,8,2,1,2,0,10,0,8,0,5,1,0,0,0,0,0,0,1,0,0,0,1,男,54,AIの間違え方がわざとらしすぎる,,
nszw26001_b7tMT8ElYs,ja,2026-01-27_20-04-05,2026-01-27_20-08-40,iframegid:conf/iframe/chatItoI_noname_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,7,7,10,3,5,10,0,0,1,10,10,8,8,6,6,0,6,10,5,0,0,1,0,0,0,0,0,1,0,0,0,1,男,58,,,
nszw26001_PSFuWL7WSF,ja,2026-01-27_20-02-33,2026-01-27_20-08-42,iframegid:conf/iframe/chatItoI_noname_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,3,1,4,4,5,5,6,6,5,4,9,6,8,5,6,5,5,6,7,5,1,0,0,0,0,0,0,1,1,0,0,0,男,47,難しい。,,
nszw26001_Xn74rUowwJ,ja,2026-01-27_20-02-34,2026-01-27_20-08-41,iframegid:conf/iframe/chatItoI_noname_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,6,7,3,1,2,2,6,0,1,8,8,1,0,0,0,1,8,8,1,5,1,0,0,0,0,0,0,1,0,0,0,1,男,57,実験とはいえこれほど使えないAIは始めてみた,,
nszw26001_05RmcjYHeo,ja,2026-01-27_20-04-36,2026-01-27_20-10-48,iframegid:conf/iframe/chatItoE_noname_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,8,7,7,3,3,6,3,3,2,7,7,3,5,2,5,3,5,6,2,2,0,0,1,0,0,1,0,0,0,0,0,1,男,44,見ていただけだが面白かった,,
nszw26001_yXBhgjQcCv,ja,2026-01-27_20-02-49,2026-01-27_20-08-46,iframegid:conf/iframe/chatItoE_noname_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,5,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,男,51,AIが指示を理解していなくて驚いた。,,
nszw26001_FrdV7fxBam,ja,2026-01-27_20-04-34,2026-01-27_20-08-48,iframegid:conf/iframe/chatItoE_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,6,6,5,3,6,5,7,3,2,5,5,5,5,6,3,5,5,6,3,5,1,0,0,0,1,0,1,0,0,0,0,1,男,50,AIを応援した,,
nszw26001_q8nn3Es0UG,ja,2026-01-27_20-03-12,2026-01-27_20-08-56,iframegid:conf/iframe/chatItoI_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,7,6,4,2,4,3,4,1,0,4,3,2,3,6,6,6,4,3,2,6,1,0,0,0,0,0,1,0,0,0,0,1,男,54,研究に役立ててください,,
nszw26001_lKmAxuocXa,ja,2026-01-27_20-02-33,2026-01-27_20-09-03,iframegid:conf/iframe/chatItoE_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,3,3,0,0,0,2,3,0,1,1,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,男,43,アンケート用のテストであることは理解しているが、実際のAIはもう少し賢いような気がした。ただ、クローバーのカードの真ん中の模様のみスペードになっていたりリアルなところもあった。,,
nszw26001_IZU9PBKF1A,ja,2026-01-27_20-03-11,2026-01-27_20-09-20,iframegid:conf/iframe/chatItoE_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,8,8,5,1,5,6,5,0,1,5,7,4,5,5,5,5,5,5,1,5,1,0,0,0,1,0,1,0,0,0,0,1,男,53,簡単だった,,
nszw26001_vedktIOArY,ja,2026-01-27_20-04-21,2026-01-27_20-09-05,iframegid:conf/iframe/chatItoI_name_js/index.html,同意する,理解しました,AIとのチャットの様子を視聴する．,あなた自身がユーザになったつもりでチャットの様子を視聴する,チャット画面をスクロール，またはチャット画面右側に表示されるスクロールバーをドラッグすることでAIとのチャットを見返すことができる．,AIへの印象の評価は，あまり深く考え込まずに自分が感じた印象で評価する．,2,5,1,0,3,2,5,1,2,5,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,男,42,AIの回答にイライラした,,
